"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\about.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 13, 101
"c:\xampp\htdocs\trodi\account.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 11, 48
"c:\xampp\htdocs\trodi\assets\brand\bootstrap-logo-white.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\trodi\assets\brand\bootstrap-logo.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\trodi\assets\dist\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\assets\dist\css\bootstrap.rtl.min.css", "CSS", 0, 2, 0, 0, 0, 0, 4, 0, 6
"c:\xampp\htdocs\trodi\assets\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\trodi\assets\js\color-modes.js", "JavaScript", 0, 0, 0, 60, 0, 0, 5, 16, 81
"c:\xampp\htdocs\trodi\chat.php", "PHP", 126, 0, 0, 0, 0, 0, 4, 39, 169
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\Chat.php", "PHP", 207, 0, 0, 0, 0, 0, 4, 0, 211
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\chat_action.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\container.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css\style.css", "CSS", 0, 723, 0, 0, 0, 0, 1, 1, 725
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\footer.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\header.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\index.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 128
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\js\chat.js", "JavaScript", 0, 0, 0, 170, 0, 0, 1, 0, 171
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\login.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\logout.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\php_chat.sql", "SQL", 0, 0, 0, 0, 0, 47, 47, 24, 118
"c:\xampp\htdocs\trodi\chat\chatpage.css", "CSS", 0, 284, 0, 0, 0, 0, 30, 75, 389
"c:\xampp\htdocs\trodi\chat\chatpage.php", "PHP", 129, 0, 0, 0, 0, 0, 7, 24, 160
"c:\xampp\htdocs\trodi\chat\config.php", "PHP", 7, 0, 0, 0, 0, 0, 2, 1, 10
"c:\xampp\htdocs\trodi\chat\get_messages.php", "PHP", 39, 0, 0, 0, 0, 0, 12, 18, 69
"c:\xampp\htdocs\trodi\chat\header.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 5, 55
