Date : 2024-04-09 14:40:07
Directory : c:\xampp\htdocs\trodi
Total : 248 files,  47667 codes, 6359 comments, 7289 blanks, all 61315 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         26 |     17,666 |      4,190 |      2,107 |     23,963 |
| HTML       |         96 |     16,645 |        382 |      2,058 |     19,085 |
| PHP        |        107 |      8,196 |        515 |      1,613 |     10,324 |
| JavaScript |         12 |      5,013 |      1,177 |      1,460 |      7,650 |
| SQL        |          2 |         94 |         94 |         48 |        236 |
| SVG        |          5 |         53 |          1 |          3 |         57 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        248 |     47,667 |      6,359 |      7,289 |     61,315 |
| . (Files)                                                                                              |         21 |      2,637 |        185 |        598 |      3,420 |
| assets                                                                                                 |          6 |         67 |         19 |         17 |        103 |
| assets\brand                                                                                           |          2 |          2 |          0 |          1 |          3 |
| assets\dist                                                                                            |          3 |          5 |         14 |          0 |         19 |
| assets\dist\css                                                                                        |          2 |          4 |          8 |          0 |         12 |
| assets\dist\js                                                                                         |          1 |          1 |          6 |          0 |          7 |
| assets\js                                                                                              |          1 |         60 |          5 |         16 |         81 |
| chat                                                                                                   |         23 |      2,214 |        118 |        234 |      2,566 |
| chat (Files)                                                                                           |         12 |        801 |         65 |        185 |      1,051 |
| chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL                                                      |         11 |      1,413 |         53 |         49 |      1,515 |
| chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL (Files)                                              |          9 |        520 |         51 |         48 |        619 |
| chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css                                                  |          1 |        723 |          1 |          1 |        725 |
| chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\js                                                   |          1 |        170 |          1 |          0 |        171 |
| layouts                                                                                                |          4 |        163 |          7 |         22 |        192 |
| pagina                                                                                                 |         64 |      5,459 |        331 |        872 |      6,662 |
| pagina (Files)                                                                                         |         17 |      1,891 |         90 |        339 |      2,320 |
| pagina\assets                                                                                          |          6 |         67 |         19 |         17 |        103 |
| pagina\assets\brand                                                                                    |          2 |          2 |          0 |          1 |          3 |
| pagina\assets\dist                                                                                     |          3 |          5 |         14 |          0 |         19 |
| pagina\assets\dist\css                                                                                 |          2 |          4 |          8 |          0 |         12 |
| pagina\assets\dist\js                                                                                  |          1 |          1 |          6 |          0 |          7 |
| pagina\assets\js                                                                                       |          1 |         60 |          5 |         16 |         81 |
| pagina\chat                                                                                            |         23 |      2,214 |        118 |        234 |      2,566 |
| pagina\chat (Files)                                                                                    |         12 |        801 |         65 |        185 |      1,051 |
| pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL                                               |         11 |      1,413 |         53 |         49 |      1,515 |
| pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL (Files)                                       |          9 |        520 |         51 |         48 |        619 |
| pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css                                           |          1 |        723 |          1 |          1 |        725 |
| pagina\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\js                                            |          1 |        170 |          1 |          0 |        171 |
| pagina\layouts                                                                                         |          3 |        119 |          0 |          3 |        122 |
| pagina\required                                                                                        |          4 |        417 |         30 |         98 |        545 |
| pagina\video                                                                                           |         11 |        751 |         74 |        181 |      1,006 |
| required                                                                                               |          8 |        873 |         88 |        241 |      1,202 |
| tutoriales                                                                                             |          5 |        444 |         25 |         90 |        559 |
| video                                                                                                  |         11 |        720 |         74 |        191 |        985 |
| xampp_docs                                                                                             |        106 |     35,090 |      5,512 |      5,024 |     45,626 |
| xampp_docs (Files)                                                                                     |          3 |         98 |          2 |         10 |        110 |
| xampp_docs\dashboard                                                                                   |        103 |     34,992 |      5,510 |      5,014 |     45,516 |
| xampp_docs\dashboard (Files)                                                                           |          7 |        936 |         24 |        133 |      1,093 |
| xampp_docs\dashboard\de                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\docs                                                                              |         19 |      3,847 |         76 |        342 |      4,265 |
| xampp_docs\dashboard\es                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\fr                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\hu                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\images                                                                            |          1 |         49 |          1 |          1 |         51 |
| xampp_docs\dashboard\it                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\javascripts                                                                       |          2 |      4,421 |      1,134 |      1,377 |      6,932 |
| xampp_docs\dashboard\jp                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\pl                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\pt_br                                                                             |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\ro                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\ru                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\stylesheets                                                                       |          4 |     13,951 |      3,995 |      1,579 |     19,525 |
| xampp_docs\dashboard\tr                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\ur                                                                                |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\zh_cn                                                                             |          5 |        842 |         20 |        113 |        975 |
| xampp_docs\dashboard\zh_tw                                                                             |          5 |        842 |         20 |        113 |        975 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\trodi\about.php                                                                        | PHP        |         88 |          0 |         13 |        101 |
| c:\xampp\htdocs\trodi\account.php                                                                      | PHP        |         37 |          0 |         11 |         48 |
| c:\xampp\htdocs\trodi\assets\brand\bootstrap-logo-white.svg                                            | SVG        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\trodi\assets\brand\bootstrap-logo.svg                                                  | SVG        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\trodi\assets\dist\css\bootstrap.min.css                                                | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\trodi\assets\dist\css\bootstrap.rtl.min.css                                            | CSS        |          2 |          4 |          0 |          6 |
| c:\xampp\htdocs\trodi\assets\dist\js\bootstrap.bundle.min.js                                           | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\trodi\assets\js\color-modes.js                                                         | JavaScript |         60 |          5 |         16 |         81 |
| c:\xampp\htdocs\trodi\chat.php                                                                         | PHP        |        126 |          4 |         39 |        169 |
| c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\Chat.php                       | PHP        |        207 |          4 |          0 |        211 |
| c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\chat_action.php                | PHP        |         42 |          0 |          0 |         42 |
| c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\container.php                  | PHP        |         23 |          0 |          3 |         26 |
| c:\xampp\htdocs\trodi\chat\Sistema-de-chat-en-vivo-con-ajax-PHP-y-MySQL\css\style.css                  | CSS        |        723 |          1 |          1 |        725 |
